Employee #,Last Name,First Name,Birthday,Address,Phone Number,SSS #,Philhealth #,TIN #,Pag-ibig #,Status,Position,Immediate Supervisor,Basic Salary,Rice Subsidy,Phone Allowance,Clothing Allowance,Gross Semi-monthly Rate,Hourly Rate
10001,Crisostomo,Jose,"February 14, 1988","17/85 Stracke Via Suite 042, Poblacion, Las Piñas 4783 Dinagat Islands ",918-621-603,49-1632020-8,382189453145,317-674-022-000,441093369646,Regular,HR Manager,N/A,"62,670","1,500","1,000","1,000","31,335",373.04
10002,Mata,Christian,"October 21, 1987","90 O'Keefe Spur Apt. 379, Catigbian 2772 Sulu ",783-776-744,49-2959312-6,824187961962,103-100-522-000,631052853464,Regular,Account Team Leader,"Romualdez, Fredrick","42,975","1,500",800,800,"21,488",255.80
10003,San Jose,Brad ,"March 15, 1996","99 Strosin Hills, Poblacion, Bislig 5340 Tawi-Tawi",797-009-261,40-2400714-1,239192926939,672-474-690-000,210850209964,Regular,HR Team Leader,"Crisostomo, Jose","42,975","1,500",800,800,"21,488",255.80
10004,Salcedo,Anthony,"September 14, 1993","93/54 Shanahan Alley Apt. 183, Santo Tomas 1572 Masbate",070-766-300,26-9647608-3,126445315651,210-805-911-000,218002473454,Regular,Payroll Manager,"Crisostomo, Jose","60,825","1,500","1,000","1,000","30,413",362.05
10005,Romualdez,Alice,"May 14, 1992","12A/33 Upton Isle Apt. 420, Roxas City 1814 Surigao del Norte ",983-606-799,55-4476527-2,545652640232,888-572-294-000,211385556888,Regular,HR Rank and File,"San Jose, Brad","22,500","1,500",500,500,"11,250",133.93
10006,Atienza,Rosie ,"September 24, 1948","90A Dibbert Terrace Apt. 190, San Lorenzo 6056 Davao del Norte",266-036-427,41-0644692-3,708988234853,604-997-793-000,260107732354,Regular,HR Rank and File,"San Jose, Brad","22,500","1,500",500,500,"11,250",133.93
10007,Farala,Martha,"January 11, 1942","42/25 Sawayn Stream, Ubay 1208 Zamboanga del Norte ",329-034-366,45-5656375-0,233693897247,210-835-851-000,631130283546,Regular,Payroll Rank and File,"Farala, Martha","24,000","1,500",500,500,"12,000",142.86
10008,Martinez,Leila,"July 11, 1970","37/46 Kulas Roads, Maragondon 0962 Quirino ",877-110-749,27-2090996-4,515741057496,275-792-513-000,101205445886,Regular,Payroll Rank and File,"Farala, Martha","24,000","1,500",500,500,"12,000",142.86
10009,San Jose,Allison ,"June 24, 1986","08 Grant Drive Suite 406, Poblacion, Iloilo City 9186 La Union",179-075-129,45-3251383-0,745148459521,121-203-336-000,114901859343,Regular,Account Rank and File,"Mata, Christian","22,500","1,500",500,500,"11,250",133.93
10010,Rosario,Cydney ,"October 6, 1996","93A/21 Berge Points, Tapaz 2180 Quezon",868-819-912,49-1629900-2,579253435499,122-244-511-000,265104358643,Regular,Account Rank and File,"Mata, Christian","22,500","1,500",500,500,"11,250",133.93
10011,Lopez,Josie ,"January 14, 1937","49 Springs Apt. 266, Poblacion, Taguig 3200 Occidental Mindoro",478-355-427,44-8563448-3,431709011012,218-489-737-000,113071293354,Regular,Payroll Team Leader,"Salcedo, Anthony","38,475","1,500",800,800,"19,238",229.02
10012,De Leon,Selena ,"February 20, 1945","89A Armstrong Trace, Compostela 7874 Maguindanao",975-432-139,27-2090208-8,587272469938,482-259-498-000,719007608464,Regular,Account Team Leader,"Romualdez, Fredrick","41,850","1,500",800,800,"20,925",249.11
10013,Romualdez,Fredrick ,"March 10, 1985","22A/52 Lubowitz Meadows, Pililla 4895 Zambales",023-079-009,26-8768374-1,308366860059,598-065-761-000,223057707853,Regular,Account Manager,"Crisostomo, Jose","63,500","1,500","1,000","1,000","31,750",377.98
10014,Bautista,Mark ,"February 12, 1961","65 Murphy Center Suite 094, Poblacion, Palayan 5636 Quirino",683-725-348,49-1647342-5,399665157135,273-970-941-000,260054585575,Regular,Account Rank and File,"Mata, Christian","23,250","1,500",500,500,"11,625",138.39
10015,Lazaro,Darlene ,"November 25, 1985","47A/94 Larkin Plaza Apt. 179, Poblacion, Caloocan 2751 Quirino",740-721-558,45-5617168-2,606386917510,354-650-951-000,104907708845,Probationary,Account Rank and File,"Mata, Christian","23,250",0,0,0,"11,625",138.39
